Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Dendrocitta cinerascens,Bornean Treepie,0.9827,101717_source0.wav
0.0,3.0,Dendrocitta leucogastra,White-bellied Treepie,0.7754,101717_source0.wav
0.0,3.0,Dendrocitta formosae,Gray Treepie,0.7640,101717_source0.wav
0.0,3.0,Dendrocitta cinerascens,Bornean Treepie,0.4227,101717_source0.wav
6.0,9.0,Dendrocitta cinerascens,Bornean Treepie,0.9211,101717_source0.wav
15.0,18.0,Dendrocitta cinerascens,Bornean Treepie,0.9942,101717_source0.wav
15.0,18.0,Dendrocitta cinerascens,Bornean Treepie,0.8080,101717_source0.wav
15.0,18.0,Platysmurus aterrimus,-,0.4252,101717_source0.wav
18.0,21.0,Dendrocitta cinerascens,Bornean Treepie,0.5651,101717_source0.wav
21.0,22.52,Dendrocitta cinerascens,Bornean Treepie,0.7971,101717_source0.wav
21.0,22.52,Dendrocitta formosae,Gray Treepie,0.3587,101717_source0.wav
0.0,3.0,Anthracoceros malayanus,Black Hornbill,0.9974,114397_source0.wav
0.0,3.0,Anthracoceros malayanus,Black Hornbill,0.9923,114397_source0.wav
0.0,3.0,Platysmurus aterrimus,-,0.2659,114397_source0.wav
3.0,6.0,Anthracoceros malayanus,Black Hornbill,0.9725,114397_source0.wav
3.0,6.0,Anthracoceros malayanus,Black Hornbill,0.9544,114397_source0.wav
3.0,6.0,Platysmurus aterrimus,-,0.3401,114397_source0.wav
6.0,9.0,Anthracoceros malayanus,Black Hornbill,0.9972,114397_source0.wav
6.0,9.0,Anthracoceros malayanus,Black Hornbill,0.9915,114397_source0.wav
6.0,9.0,Platysmurus aterrimus,-,0.5319,114397_source0.wav
9.0,12.0,Anthracoceros malayanus,Black Hornbill,0.9357,114397_source0.wav
9.0,12.0,Anthracoceros malayanus,Black Hornbill,0.8537,114397_source0.wav
12.0,15.0,Hydrornis schwaneri,Bornean Banded-Pitta,0.2740,114397_source0.wav
15.0,18.0,Hydrornis schwaneri,Bornean Banded-Pitta,0.3819,114397_source0.wav
18.0,21.0,Anthracoceros malayanus,Black Hornbill,0.4760,114397_source0.wav
18.0,21.0,Anthracoceros malayanus,Black Hornbill,0.3210,114397_source0.wav
21.0,24.0,Anthracoceros malayanus,Black Hornbill,0.9911,114397_source0.wav
21.0,24.0,Anthracoceros malayanus,Black Hornbill,0.9729,114397_source0.wav
24.0,27.0,Anthracoceros malayanus,Black Hornbill,0.9938,114397_source0.wav
24.0,27.0,Anthracoceros malayanus,Black Hornbill,0.9893,114397_source0.wav
24.0,27.0,Platysmurus aterrimus,-,0.5234,114397_source0.wav
24.0,27.0,Bycanistes albotibialis,White-thighed Hornbill,0.4984,114397_source0.wav
27.0,30.0,Anthracoceros malayanus,Black Hornbill,0.9937,114397_source0.wav
27.0,30.0,Anthracoceros malayanus,Black Hornbill,0.9912,114397_source0.wav
27.0,30.0,Bycanistes albotibialis,White-thighed Hornbill,0.3477,114397_source0.wav
27.0,30.0,Platysmurus aterrimus,-,0.2833,114397_source0.wav
30.0,33.0,Anthracoceros malayanus,Black Hornbill,0.7797,114397_source0.wav
30.0,33.0,Anthracoceros malayanus,Black Hornbill,0.7260,114397_source0.wav
33.0,36.0,Hydrornis schwaneri,Bornean Banded-Pitta,0.2893,114397_source0.wav
36.0,39.0,Anthracoceros malayanus,Black Hornbill,0.8936,114397_source0.wav
36.0,39.0,Anthracoceros malayanus,Black Hornbill,0.8619,114397_source0.wav
36.0,39.0,Platysmurus aterrimus,-,0.6545,114397_source0.wav
39.0,42.0,Anthracoceros malayanus,Black Hornbill,0.7010,114397_source0.wav
39.0,42.0,Anthracoceros malayanus,Black Hornbill,0.3428,114397_source0.wav
42.0,45.0,Anthracoceros malayanus,Black Hornbill,0.9979,114397_source0.wav
42.0,45.0,Anthracoceros malayanus,Black Hornbill,0.9821,114397_source0.wav
42.0,45.0,Platysmurus aterrimus,-,0.4481,114397_source0.wav
45.0,48.0,Anthracoceros malayanus,Black Hornbill,0.9822,114397_source0.wav
45.0,48.0,Anthracoceros malayanus,Black Hornbill,0.9809,114397_source0.wav
48.0,51.0,Anthracoceros malayanus,Black Hornbill,0.9981,114397_source0.wav
48.0,51.0,Anthracoceros malayanus,Black Hornbill,0.9929,114397_source0.wav
51.0,54.0,Anthracoceros malayanus,Black Hornbill,0.9887,114397_source0.wav
51.0,54.0,Anthracoceros malayanus,Black Hornbill,0.9697,114397_source0.wav
51.0,54.0,Bycanistes albotibialis,White-thighed Hornbill,0.6203,114397_source0.wav
51.0,54.0,Platysmurus aterrimus,-,0.6076,114397_source0.wav
54.0,57.0,Anthracoceros malayanus,Black Hornbill,0.8473,114397_source0.wav
54.0,57.0,Anthracoceros malayanus,Black Hornbill,0.4398,114397_source0.wav
57.0,60.0,Anthracoceros malayanus,Black Hornbill,0.9892,114397_source0.wav
57.0,60.0,Anthracoceros malayanus,Black Hornbill,0.9780,114397_source0.wav
60.0,63.0,Anthracoceros malayanus,Black Hornbill,0.9628,114397_source0.wav
60.0,63.0,Anthracoceros malayanus,Black Hornbill,0.8578,114397_source0.wav
60.0,63.0,Bycanistes albotibialis,White-thighed Hornbill,0.2916,114397_source0.wav
0.0,3.0,Otus alfredi,-,0.2770,121494_source3.wav
0.0,3.0,Megascops ingens,Rufescent Screech-Owl,0.2509,121494_source3.wav
3.0,6.0,Otus alfredi,-,0.5380,121494_source3.wav
9.0,12.0,Cyphorhinus thoracicus,Chestnut-breasted Wren,0.4660,121494_source3.wav
12.0,15.0,Otus alfredi,-,0.4881,121494_source3.wav
15.0,18.0,Otus alfredi,-,0.6413,121494_source3.wav
18.0,20.5,Otus alfredi,-,0.4097,121494_source3.wav
3.0,6.0,Anthracoceros albirostris,Oriental Pied-Hornbill,0.9758,150900_source0.wav
12.0,15.0,Pterorhinus treacheri,Chestnut-hooded Laughingthrush,0.3694,150900_source0.wav
21.0,24.0,Anthracoceros albirostris,Oriental Pied-Hornbill,0.7949,150900_source0.wav
21.0,24.0,Platysmurus aterrimus,-,0.2591,150900_source0.wav
30.0,33.0,Amazona auropalliata,Yellow-naped Parrot,0.2528,150900_source0.wav
33.0,36.0,Pityriasis gymnocephala,Bornean Bristlehead,0.2738,150900_source0.wav
3.0,6.0,Erythropitta ussheri,Black-crowned Pitta,0.2813,150941_source3.wav
3.0,6.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.9818,151620_source0.wav
3.0,6.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.9098,151620_source0.wav
6.0,9.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.9643,151620_source0.wav
6.0,9.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.7999,151620_source0.wav
9.0,12.0,Oriolus chinensis,Black-naped Oriole,0.4115,151620_source0.wav
9.0,12.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.3859,151620_source0.wav
9.0,12.0,Oriolus traillii,Maroon Oriole,0.2619,151620_source0.wav
12.0,15.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.7242,151620_source0.wav
15.0,18.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.9699,151620_source0.wav
15.0,18.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.5318,151620_source0.wav
27.0,30.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.9484,151620_source0.wav
27.0,30.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.4996,151620_source0.wav
30.0,33.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.3288,151620_source0.wav
30.0,33.0,Habia rubica,Red-crowned Ant-Tanager,0.2631,151620_source0.wav
33.0,36.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.9772,151620_source0.wav
33.0,36.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.7084,151620_source0.wav
36.0,39.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.7222,151620_source0.wav
39.0,42.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.9006,151620_source0.wav
39.0,42.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.2793,151620_source0.wav
42.0,45.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.7800,151620_source0.wav
42.0,45.0,Psilopogon pyrolophus,Fire-tufted Barbet,0.3787,151620_source0.wav
42.0,45.0,Psilopogon pyrolophus,Fire-tufted Barbet,0.3496,151620_source0.wav
51.0,54.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.9429,151620_source0.wav
6.0,9.0,Geokichla citrina,Orange-headed Thrush,0.5911,167240_source0.wav
6.0,9.0,Cossypha humeralis,White-throated Robin-Chat,0.2807,167240_source0.wav
12.0,15.0,Geokichla citrina,Orange-headed Thrush,0.2582,167240_source0.wav
15.0,18.0,Pterorhinus treacheri,Chestnut-hooded Laughingthrush,0.5121,167240_source0.wav
24.0,27.0,Pellorneum rostratum,White-chested Babbler,0.2784,167240_source0.wav
